x y_gt y_nn y_rg
0.0 0.0 0.0 0.0
0.1937 1.212 0.967 1.246
0.3875 2.424 2.23 2.482
0.581 3.635 3.512 3.71
0.775 4.848 4.836 4.93
0.9688 6.06 6.18 6.14
1.162 7.27 7.516 7.344
1.356 8.484 8.83 8.54
1.55 9.695 10.086 9.77
1.744 10.91 11.12 10.89
1.9375 12.12 11.4 11.03
2.26 11.36 11.17 10.98
2.584 10.805 10.93 10.93
2.906 10.32 10.67 10.84
3.875 9.99 10.414 10.71
5.582 9.76 10.06 10.45
8.23 9.45 9.73 10.125
11.46 8.984 9.36 9.7
19.89 8.75 9.09 9.37
24.27 8.53 8.8 9.0
28.64 8.32 8.54 8.664
33.0 8.21 8.4 8.47
37.38 8.09 8.22 8.234
41.75 8.01 8.07 8.05
46.12 7.97 7.977 7.926
50.5 7.926 7.867 7.79
59.25 7.86 7.766 7.668
63.62 7.81 7.703 7.594
68.0 7.73 7.637 7.516
72.4 7.67 7.56 7.43
76.75 7.637 7.516 7.383
81.1 7.586 7.465 7.332
85.5 7.555 7.414 7.28
89.9 7.535 7.383 7.254
98.6 7.49 7.344 7.22
103.0 7.45 7.31 7.188
107.4 7.42 7.285 7.168
111.75 7.39 7.258 7.15
116.1 7.355 7.23 7.13
120.44 7.332 7.21 7.117
124.8 7.316 7.188 7.105
129.2 7.293 7.168 7.094
138.0 7.285 7.152 7.086
142.4 7.27 7.137 7.08
146.8 7.234 7.12 7.07
151.1 7.22 7.11 7.062
155.5 7.195 7.094 7.06
159.9 7.176 7.08 7.055
164.2 7.156 7.07 7.05
168.6 7.15 7.06 7.047
177.4 7.12 7.047 7.043
181.8 7.113 7.04 7.043
186.0 7.1 7.027 7.04
190.4 7.062 7.016 7.04
194.8 7.043 7.008 7.04
199.1 7.02 7.0 7.035
203.5 6.996 6.992 7.035
207.9 6.98 6.984 7.035
216.6 6.953 6.973 7.035
221.0 6.938 6.965 7.03
225.4 6.93 6.957 7.03
229.8 6.938 6.95 7.03
234.1 6.934 6.94 7.03
238.5 6.93 6.934 7.03
242.9 6.9 6.926 7.03
247.2 6.88 6.918 7.03
256.0 6.86 6.91 7.03
260.5 6.832 6.902 7.03
264.8 6.816 6.9 7.03
269.2 6.76 6.89 7.03
273.5 6.72 6.887 7.03
278.0 6.76 6.88 7.027
282.2 6.76 6.87 7.027
286.8 6.72 6.867 7.027
295.5 6.72 6.86 7.027
